Behaltene Events: 68 aus 1424 gescannten
mit Beschreibung: 68
============================================================
Seite 1: 24 Karten, 24 neu, 3 behalten (Wunsch-Bühnen)
Seite 2: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 3: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 4: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 5: 24 Karten, 24 neu, 0 behalten (Wunsch-Bühnen)
Seite 6: 24 Karten, 24 neu, 2 behalten (Wunsch-Bühnen)
Seite 7: 24 Karten, 23 neu, 1 behalten (Wunsch-Bühnen)
Seite 8: 24 Karten, 23 neu, 0 behalten (Wunsch-Bühnen)
Seite 9: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 10: 24 Karten, 23 neu, 1 behalten (Wunsch-Bühnen)
Seite 11: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 12: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 13: 24 Karten, 24 neu, 0 behalten (Wunsch-Bühnen)
Seite 14: 24 Karten, 24 neu, 0 behalten (Wunsch-Bühnen)
Seite 15: 24 Karten, 24 neu, 0 behalten (Wunsch-Bühnen)
Seite 16: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 17: 24 Karten, 24 neu, 0 behalten (Wunsch-Bühnen)
Seite 18: 24 Karten, 24 neu, 0 behalten (Wunsch-Bühnen)
Seite 19: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 20: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 21: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 22: 24 Karten, 24 neu, 0 behalten (Wunsch-Bühnen)
Seite 23: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 24: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 25: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 26: 22 Karten, 22 neu, 1 behalten (Wunsch-Bühnen)
Seite 27: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 28: 24 Karten, 24 neu, 0 behalten (Wunsch-Bühnen)
Seite 29: 22 Karten, 22 neu, 0 behalten (Wunsch-Bühnen)
Seite 30: 23 Karten, 23 neu, 2 behalten (Wunsch-Bühnen)
Seite 31: 24 Karten, 24 neu, 2 behalten (Wunsch-Bühnen)
Seite 32: 24 Karten, 24 neu, 3 behalten (Wunsch-Bühnen)
Seite 33: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 34: 24 Karten, 24 neu, 2 behalten (Wunsch-Bühnen)
Seite 35: 24 Karten, 24 neu, 2 behalten (Wunsch-Bühnen)
Seite 36: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 37: 23 Karten, 23 neu, 2 behalten (Wunsch-Bühnen)
Seite 38: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 39: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 40: 23 Karten, 23 neu, 1 behalten (Wunsch-Bühnen)
Seite 41: 24 Karten, 24 neu, 0 behalten (Wunsch-Bühnen)
Seite 42: 23 Karten, 23 neu, 2 behalten (Wunsch-Bühnen)
Seite 43: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 44: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 45: 24 Karten, 24 neu, 2 behalten (Wunsch-Bühnen)
Seite 46: 23 Karten, 23 neu, 2 behalten (Wunsch-Bühnen)
Seite 47: 24 Karten, 24 neu, 2 behalten (Wunsch-Bühnen)
Seite 48: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 49: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 50: 24 Karten, 24 neu, 2 behalten (Wunsch-Bühnen)
Seite 51: 24 Karten, 24 neu, 3 behalten (Wunsch-Bühnen)
Seite 52: 23 Karten, 23 neu, 0 behalten (Wunsch-Bühnen)
Seite 53: 24 Karten, 24 neu, 0 behalten (Wunsch-Bühnen)
Seite 54: 23 Karten, 23 neu, 1 behalten (Wunsch-Bühnen)
Seite 55: 23 Karten, 23 neu, 1 behalten (Wunsch-Bühnen)
Seite 56: 23 Karten, 23 neu, 1 behalten (Wunsch-Bühnen)
Seite 57: 24 Karten, 24 neu, 2 behalten (Wunsch-Bühnen)
Seite 58: 24 Karten, 24 neu, 2 behalten (Wunsch-Bühnen)
Seite 59: 24 Karten, 24 neu, 1 behalten (Wunsch-Bühnen)
Seite 60: 24 Karten, 24 neu, 3 behalten (Wunsch-Bühnen)
